panel,column,sample,estimator,learner,coef,se,t,p,stars,original_coef,original_se,ml_minus_original,n,valid_repeats,repeat_sd,se_diff,t_vs_original,p_vs_original,diff_stars,t_vs_original_seml_only
OLS vs ML-OLS,Column 2,full,Original OLS,Original,-0.07616984395846732,0.029070346952003088,-2.6201903982855232,0.008788068643133862,***,-0.07616984395846732,0.029070346952003088,0.0,52,,,,,,,
OLS vs ML-OLS,Column 2,full,ML-OLS,Linear,-0.11180455993634275,0.030285273403313235,-3.6917137397911435,0.00022274809094025017,***,-0.07616984395846732,0.029070346952003088,-0.03563471597787543,52,500.0,0.014635084662929811,0.041979552844489273,-0.8488588744592419,0.39595982519956907,,-1.176635109193928
OLS vs ML-OLS,Column 2,full,ML-OLS,Ridge,-0.10331750792880112,0.028700843322421076,-3.5998073913071944,0.00031845297731569744,***,-0.07616984395846732,0.029070346952003088,-0.027147663970333802,52,500.0,0.010059269235917889,0.040851235958389284,-0.6645493908185832,0.506338748318226,,-0.9458838426927361
OLS vs ML-OLS,Column 2,full,ML-OLS,LASSO,-0.09971576030563165,0.029549799255404026,-3.3744987383423855,0.0007395025493615037,***,-0.07616984395846732,0.029070346952003088,-0.023545916347164325,52,500.0,0.012140384460042291,0.04145208930734989,-0.5680272512340985,0.570016463923058,,-0.7968215331567196
OLS vs ML-OLS,Column 2,full,ML-OLS,Elastic Net,-0.10065284537299134,0.029253996371055337,-3.440652828978261,0.0005803126052605911,***,-0.07616984395846732,0.029070346952003088,-0.024483001414524017,52,500.0,0.011059324385731976,0.041241743120139264,-0.5936461352567909,0.5527488169907788,,-0.8369113438035473
OLS vs ML-OLS,Column 2,full,ML-OLS,Polynomial Ridge,-0.0913200578029425,0.042349871799002216,-2.156324303326322,0.03105835083383157,**,-0.07616984395846732,0.029070346952003088,-0.01515021384447518,52,500.0,0.020008044432629043,0.05136727278434936,-0.29493903458879295,0.7680404522804174,,-0.3577393083119587
OLS vs ML-OLS,Column 2,full,ML-OLS,SVR,-0.10328127625682582,0.032396017846527556,-3.1880855463813207,0.001432181585183434,***,-0.07616984395846732,0.029070346952003088,-0.027111432298358495,52,500.0,0.010663300843244586,0.04352685428815603,-0.6228667966418081,0.5333720589315989,,-0.8368754587923681
OLS vs ML-OLS,Column 2,full,ML-OLS,Kernel Ridge,-0.11499066880823239,0.031135483348005536,-3.6932353843030485,0.00022141889711058127,***,-0.07616984395846732,0.029070346952003088,-0.03882082484976507,52,500.0,0.006979081532168404,0.042596988100378236,-0.9113514025518711,0.36211025066390423,,-1.2468354647287605
OLS vs ML-OLS,Column 2,full,ML-OLS,Random Forest,-0.09016674515454084,0.03301253860624512,-2.73128783672164,0.006308734607813671,***,-0.07616984395846732,0.029070346952003088,-0.013996901196073525,52,500.0,0.008310497947393743,0.04398764345971104,-0.31820075128356223,0.7503326629187148,,-0.42398742377920834
OLS vs ML-OLS,Column 2,full,ML-OLS,Extra Trees,-0.10530644260572983,0.02963107491044351,-3.5539190840698947,0.00037953596652084975,***,-0.07616984395846732,0.029070346952003088,-0.029136598647262507,52,500.0,0.0060233514634472655,0.041510067119412734,-0.7019164426654562,0.4827312740804284,,-0.9833122401169887
