panel,column,sample,estimator,learner,coef,se,t,p,stars,original_coef,original_se,ml_minus_original,n,valid_repeats,repeat_sd,se_diff,t_vs_original,p_vs_original,diff_stars,t_vs_original_seml_only
IV vs ML-IV,Column 3,full,Original IV,Original,-0.28565931615083073,0.15270198454556208,-1.8706981248537593,0.061386934879677835,*,-0.28565931615083073,0.15270198454556208,0.0,52,,,,,,,
IV vs ML-IV,Column 3,full,ML-IV,Linear,-0.2551141675920967,0.06977792603849432,-3.656086990194551,0.0002560944817222577,***,-0.28565931615083073,0.15270198454556208,0.030545148558734025,52,500.0,0.04477804795905226,0.16788941314563782,0.1819361208454356,0.8556328572001726,,0.43774801420557
IV vs ML-IV,Column 3,full,ML-IV,Ridge,-0.2502276804678387,0.07359455859716568,-3.4000839904144167,0.0006736515717085112,***,-0.28565931615083073,0.15270198454556208,0.03543163568299201,52,500.0,0.041367859888962626,0.16951122422796885,0.2090223573357091,0.8344307854640733,,0.4814436876635683
IV vs ML-IV,Column 3,full,ML-IV,LASSO,-0.27222592818896474,0.08495126187703428,-3.2044954032938064,0.0013529945081780514,***,-0.28565931615083073,0.15270198454556208,0.013433387961865995,52,500.0,0.057774021136853274,0.1747415605362775,0.07687574679222997,0.938722391693328,,0.15813052878850262
IV vs ML-IV,Column 3,full,ML-IV,Elastic Net,-0.2813676397283541,0.08763008026100301,-3.2108568072779438,0.0013233986123823982,***,-0.28565931615083073,0.15270198454556208,0.004291676422476631,52,500.0,0.054902884635672874,0.17605944181072172,0.024376292338189588,0.9805524586794139,,0.04897492287687092
IV vs ML-IV,Column 3,full,ML-IV,Polynomial Ridge,-0.16000375688499205,0.13797786306606089,-1.1596335334486636,0.24619804202651974,,-0.28565931615083073,0.15270198454556208,0.12565555926583868,52,500.0,0.13830289428427073,0.20580521562980306,0.6105557572061951,0.5414937200908754,,0.9106936176108008
IV vs ML-IV,Column 3,full,ML-IV,SVR,-0.2176803867218574,0.10472026220351224,-2.078684508054608,0.037646357814561604,**,-0.28565931615083073,0.15270198454556208,0.06797892942897332,52,500.0,0.05285207956581115,0.18516001026173398,0.3671361290857638,0.7135174790247134,,0.6491478153183363
IV vs ML-IV,Column 3,full,ML-IV,Kernel Ridge,-0.283333013819596,0.11312416103080583,-2.504619802152072,0.012258308319344824,**,-0.28565931615083073,0.15270198454556208,0.0023263023312347086,52,500.0,0.050264167876218735,0.19003939563437042,0.01224115833177263,0.9902332126802771,,0.020564151018111973
IV vs ML-IV,Column 3,full,ML-IV,Random Forest,-0.24261389531044036,0.14096769488185873,-1.7210602437229934,0.08523989254216668,*,-0.28565931615083073,0.15270198454556208,0.04304542084039037,52,500.0,0.07557437155022798,0.2078215269996299,0.20712686246630757,0.8359107837531332,,0.30535663420236525
IV vs ML-IV,Column 3,full,ML-IV,Extra Trees,-0.22344080161817753,0.08265347929092366,-2.703344172986484,0.006864562637405092,***,-0.28565931615083073,0.15270198454556208,0.0622185145326532,52,500.0,0.027159709415108597,0.17363609568015584,0.35832707645800804,0.7200985574877952,,0.7527634053208639
IV vs ML-IV,Column 3,full,ML-IV,Gradient Boosting,-0.28598325008071657,0.1428389913780352,-2.0021371428186456,0.04526998375128155,**,-0.28565931615083073,0.15270198454556208,-0.00032393392988583347,52,500.0,0.0945410622874727,0.20909536948973187,-0.00154921618147905,0.9987639048219046,,-0.0022678256599314365
IV vs ML-IV,Column 4,restricted,Original IV,Original,-0.22123816222017112,0.07777316034451047,-2.8446595360167457,0.004445891571000615,***,-0.22123816222017112,0.07777316034451047,0.0,42,,,,,,,
IV vs ML-IV,Column 4,restricted,ML-IV,Linear,-0.199661904754924,0.0550294993465123,-3.6282704208825103,0.0002853263156539221,***,-0.22123816222017112,0.07777316034451047,0.021576257465247106,42,500.0,0.031999100679912684,0.09527282019705689,0.22646813037149524,0.8208373436346885,,0.39208529464142
IV vs ML-IV,Column 4,restricted,ML-IV,Ridge,-0.21056157291770347,0.07513927265922814,-2.802283885188016,0.005074220087350589,***,-0.22123816222017112,0.07777316034451047,0.010676589302467648,42,500.0,0.03148992821177669,0.10814145720180936,0.09872799552296965,0.9213542402381749,,0.1420906661006442
