table,column,sample,n,coef,se,published_coef,published_se,check,first_stage_F
III,1,full,52,-0.11193681823128646,0.023803197662243328,-0.112,0.024,PASS,
III,2,full,52,-0.07616984395846732,0.029070346952003088,-0.076,0.029,PASS,
III,3,restricted,42,-0.10804040679901868,0.03774184545860784,-0.108,0.037,PASS,
III,4,full,52,-0.08536826493395694,0.03488408987872995,-0.085,0.035,PASS,
III,5,full,52,-0.10324781654256293,0.03386731162084493,-0.103,0.034,PASS,
III,6,restricted,42,-0.12768699901718622,0.03491657227534382,-0.128,0.034,PASS,
IV,1,full,52,-0.20794077781128797,0.05300756068026024,-0.208,0.053,PASS,4.54537333611997
IV,2,full,52,-0.20139560478093282,0.04720359837492797,-0.201,0.047,PASS,5.101448875496608
IV,3,full,52,-0.28565931615083073,0.15270198454556208,-0.286,0.153,PASS,0.811074480713572
IV,4,restricted,42,-0.22123816222017112,0.07777316034451047,-0.248,0.071,DIFF,2.7458264640825365
